model,train_size,fold,accuracy,auc,f1,precision,recall,balanced_accuracy
XGBoost,1000,4,0.9371539313399778,0.9930006927459916,0.9303223271141987,0.9437214678969125,0.9192725520139301,0.9192725520139301
DCM-DNN,2000,4,0.9584025470653378,0.997145798340986,0.953010357838293,0.9499647363931851,0.9572608201913728,0.9572608201913728
PlainDNN,2000,4,0.9569490586932448,0.9960200908046805,0.9478475426273617,0.9462295949539684,0.9499179103885819,0.9499179103885819
LR,2000,4,0.998062015503876,0.9999881262877087,0.9969690720417735,0.9955870764381403,0.9983843978997173,0.9983843978997173
RF,2000,4,0.9356312292358804,0.9939203420770474,0.9344902919690146,0.9462592054722535,0.9247687471656499,0.9247687471656499
SVM,2000,4,0.9778516057585825,0.9987598829999625,0.9729052072792125,0.9709733535003213,0.9749038635300086,0.9749038635300086
XGBoost,2000,4,0.9455980066445183,0.9953916094126641,0.9418437108819392,0.950338022936975,0.9344280262480945,0.9344280262480945
DCM-DNN,500,5,0.9369462901439646,0.9909052661322185,0.9290985616416134,0.9235911586398752,0.9352046199271514,0.9352046199271514
PlainDNN,500,5,0.9245570321151716,0.9898798812784272,0.9171885382926597,0.9136305732461905,0.9259960567473566,0.9259960567473566
LR,500,5,0.9711378737541528,0.9964521520142213,0.961040891087741,0.9623831657127534,0.9597575033728041,0.9597575033728041
RF,500,5,0.9134136212624585,0.9886224924183348,0.906806780272286,0.926627146876282,0.891529252268656,0.891529252268656
SVM,500,5,0.959579180509413,0.9956927250446482,0.9518833689955102,0.9539956607850728,0.9498469999023588,0.9498469999023588
XGBoost,500,5,0.9113372093023255,0.9848588519371448,0.9019129091938014,0.9151545620178893,0.8910638508135604,0.8910638508135604
DCM-DNN,1000,5,0.9447674418604651,0.9934537093495459,0.9403977578091322,0.9411847149596827,0.9406011234006378,0.9406011234006378
PlainDNN,1000,5,0.9464285714285714,0.9937706047539928,0.9408762755226759,0.9399835067710139,0.9430545606470991,0.9430545606470991
LR,1000,5,0.981796788482835,0.9987707537413452,0.9757290327907547,0.9734868722733815,0.9781936569895596,0.9781936569895596
RF,1000,5,0.9289867109634552,0.991380240946783,0.9247813137034981,0.9420576320867893,0.9109792709631218,0.9109792709631218
SVM,1000,5,0.9615171650055371,0.9972374366464809,0.9563533446492585,0.9544580674639263,0.958307052784391,0.958307052784391
XGBoost,1000,5,0.9419296788482835,0.9929009671671046,0.9354292825334163,0.9476798341176654,0.9251255573972693,0.9251255573972693
DCM-DNN,2000,5,0.9591638981173864,0.9955544489297229,0.9522879013466223,0.948148179888856,0.9570602711561692,0.9570602711561692
PlainDNN,2000,5,0.95812569213732,0.9971511184530589,0.9529025089196965,0.9515022547024864,0.9555340402632088,0.9555340402632088
LR,2000,5,0.9948089700996677,0.9996509908782297,0.992581492734432,0.9912630245884322,0.9939381744387452,0.9939381744387452
RF,2000,5,0.9363925802879292,0.9935884315299631,0.9321120298314338,0.9474984749575128,0.9197559926684117,0.9197559926684117
SVM,2000,5,0.9709302325581395,0.9983385139263081,0.9657861822123465,0.9639618246319327,0.9676834864972853,0.9676834864972853
XGBoost,2000,5,0.9538344407530454,0.9955327579242003,0.9469501038300877,0.957786359021159,0.9376549015472281,0.9376549015472281
