model,fold,accuracy,auc,f1,precision,recall,balanced_accuracy
PlainDNN,5,0.634088200238379,0.7213959482207731,0.47477941990819933,0.45509624888002137,0.5869599872469312,0.5869599872469312
LR,5,0.6722288438617402,0.7408348546200484,0.4592548801409561,0.4351113499508585,0.5990192999632598,0.5990192999632598
RF,5,0.5852205005959475,0.7102188343781224,0.4224493636009301,0.41675375236924334,0.5674082466651478,0.5674082466651478
SVM,5,0.6412395709177592,0.7322994269614022,0.46047051208692275,0.435583635763664,0.6271157334143399,0.6271157334143399
XGBoost,5,0.5768772348033373,0.6833220421554963,0.4132890988154146,0.41310262110418067,0.5494054839563796,0.5494054839563796
DCM-DNN,6,0.7130952380952381,0.7678186459104506,0.554763543825526,0.520200493880887,0.6371029577586955,0.6371029577586955
PlainDNN,6,0.7380952380952381,0.7825027977554591,0.5549409643827233,0.513120328372528,0.6448408361523116,0.6448408361523116
LR,6,0.6666666666666666,0.7683677599587678,0.49889985258966,0.4623740211036256,0.6546101136265071,0.6546101136265071
RF,6,0.680952380952381,0.7571525518547523,0.5017700992136875,0.4608928220938922,0.6670864775782809,0.6670864775782809
SVM,6,0.6773809523809524,0.7703023022789282,0.5035574685288461,0.46448890062911974,0.6385913782635094,0.6385913782635094
XGBoost,6,0.6714285714285714,0.7308734430020509,0.48928390389463966,0.45468549308123607,0.6587709254922369,0.6587709254922369
DCM-DNN,7,0.6988095238095238,0.6816521467534319,0.45699677287565094,0.4333577684981759,0.5456769884638738,0.5456769884638738
PlainDNN,7,0.6702380952380952,0.6861412861570374,0.4500399579385061,0.4284214285942944,0.5748451730418943,0.5748451730418943
LR,7,0.7107142857142857,0.7165699529042309,0.4877067119990434,0.45607502398453387,0.5955477491543065,0.5955477491543065
RF,7,0.675,0.6722887692671403,0.4639338649591757,0.44221278753678056,0.5542015786278082,0.5542015786278082
SVM,7,0.7,0.715791101989875,0.46528152545421836,0.4382071573862192,0.5596834070604563,0.5596834070604563
XGBoost,7,0.6428571428571429,0.6645101120450612,0.44365203908828255,0.4244540998217469,0.5864472200537775,0.5864472200537775
DCM-DNN,8,0.6666666666666666,0.7456662875038673,0.5136259199781473,0.48265681614717043,0.6749206349206349,0.6749206349206349
PlainDNN,8,0.680952380952381,0.7541680243275732,0.4746556019270205,0.4489070766961234,0.6107095151357447,0.6107095151357447
LR,8,0.6285714285714286,0.7607134548213063,0.48098263976438593,0.46122181123970885,0.6551704397606036,0.6551704397606036
RF,8,0.5464285714285714,0.7318953002132118,0.41717792673321435,0.42545866168281926,0.6020149189001648,0.6020149189001648
SVM,8,0.6214285714285714,0.7320493293766489,0.4691511893690971,0.45404374536337594,0.6726116749067569,0.6726116749067569
XGBoost,8,0.5523809523809524,0.7208241884919566,0.40897651102788046,0.42113844937641715,0.6021398213201491,0.6021398213201491
DCM-DNN,9,0.6821428571428572,0.743412532506809,0.46390302888459817,0.439475900918687,0.6218562328684804,0.6218562328684804
PlainDNN,9,0.6976190476190476,0.740267145674311,0.46888840451326885,0.44543255329646153,0.6325218760055984,0.6325218760055984
LR,9,0.6511904761904762,0.743452265003274,0.44078576380981876,0.427294526878544,0.5981153874485812,0.5981153874485812
RF,9,0.6142857142857143,0.7375549287119011,0.43893637978621286,0.42636960828563275,0.6058403216364066,0.6058403216364066
SVM,9,0.6833333333333333,0.7403088135201732,0.4637575438680412,0.44064481048248066,0.5884829663747281,0.5884829663747281
XGBoost,9,0.5952380952380952,0.6816537906205548,0.39465603613963324,0.39319208645685305,0.5330960605743397,0.5330960605743397
DCM-DNN,10,0.7103694874851013,0.748923324363315,0.5083376166967498,0.4727995421674211,0.6209786611877733,0.6209786611877733
