scheme,fold,model,nacc_acc,nacc_auc,nacc_f1,nacc_n,ppmi_acc,ppmi_auc,ppmi_f1,ppmi_n
A,4,XGBoost,0.6375,0.9925,0.3836405529953917,80,0.5375,0.6675,0.4126984126984127,80
B,0,DCM-DNN,0.95,0.995625,0.9625,120,0.7222222222222222,0.8094135802469136,0.782608695652174,54
B,0,PlainDNN,0.95,0.9959374999999999,0.9625,120,0.7222222222222222,0.8078703703703703,0.782608695652174,54
B,0,LR,0.975,0.9984375,0.9813664596273292,120,0.7777777777777778,0.8063271604938271,0.8181818181818182,54
B,0,RF,0.95,0.999375,0.961038961038961,120,0.6851851851851852,0.7160493827160495,0.7536231884057971,54
B,0,XGBoost,0.975,0.9968750000000001,0.9808917197452229,120,0.7407407407407407,0.7214506172839507,0.8055555555555556,54
B,1,DCM-DNN,0.9666666666666667,0.9959374999999999,0.9746835443037974,120,0.7407407407407407,0.8842592592592593,0.8157894736842105,54
B,1,PlainDNN,0.9583333333333334,0.996875,0.9681528662420382,120,0.7407407407407407,0.8904320987654321,0.8157894736842105,54
B,1,LR,0.9666666666666667,0.99625,0.9746835443037974,120,0.8333333333333334,0.8858024691358025,0.8767123287671232,54
B,1,RF,0.925,0.9874999999999999,0.9419354838709677,120,0.6666666666666666,0.7021604938271605,0.7631578947368421,54
B,1,XGBoost,0.9666666666666667,0.9984375,0.9743589743589743,120,0.7037037037037037,0.7824074074074072,0.7714285714285715,54
B,2,DCM-DNN,0.9833333333333333,0.999375,0.9875,120,0.6792452830188679,0.7547619047619047,0.7605633802816901,53
B,2,PlainDNN,0.9833333333333333,0.999375,0.9873417721518988,120,0.660377358490566,0.7563492063492063,0.75,53
B,2,LR,0.9833333333333333,0.999375,0.9876543209876543,120,0.6415094339622641,0.7817460317460316,0.7323943661971831,53
B,2,RF,0.95,0.99,0.9620253164556962,120,0.6981132075471698,0.7928571428571428,0.7777777777777778,53
B,2,XGBoost,0.925,0.9909375,0.9419354838709677,120,0.6981132075471698,0.7817460317460319,0.7714285714285715,53
B,3,DCM-DNN,0.9583333333333334,0.9959375,0.968944099378882,120,0.8679245283018868,0.9272875816993463,0.9014084507042254,53
B,3,PlainDNN,0.9583333333333334,0.9959375,0.968944099378882,120,0.8867924528301887,0.9305555555555555,0.9142857142857143,53
