dataset,model,fold,accuracy,auc,f1,precision,recall,balanced_accuracy
NACC,DCM-DNN-CrossSection,4,0.9775,0.9989967777981095,0.9756709441045355,0.9734470837515334,0.9781017022193493,0.9781017022193493
NACC,LR-HandCraft,4,0.975,0.9983997828878995,0.9722755905043451,0.967074839267743,0.9785592185592186,0.9785592185592186
NACC,XGBoost-HandCraft,4,0.925,0.9883931738203157,0.9277651205639669,0.934561026314657,0.9222789628671982,0.9222789628671982
NACC,DCM-LSTM,5,0.965,0.9963697600522501,0.960005146464169,0.9550701252927268,0.9655206998364277,0.9655206998364277
NACC,LSTMOnly,5,0.9575,0.9950530972454441,0.9492394124567456,0.947626087691138,0.9510279462132395,0.9510279462132395
NACC,DCM-DNN-CrossSection,5,0.9575,0.9937184232458897,0.9429492344883159,0.9367066449033662,0.9515935544531985,0.9515935544531985
NACC,LR-HandCraft,5,0.97,0.997739195223498,0.959476587681609,0.9565756966689697,0.9627792367798204,0.9627792367798204
NACC,XGBoost-HandCraft,5,0.935,0.98584774199329,0.9228786388508058,0.9250869833837349,0.9209242270228555,0.9209242270228555
PPMI,DCM-LSTM,1,0.5208333333333334,0.662109375,0.44995258416311046,0.4662698412698412,0.5208333333333334,0.5208333333333334
PPMI,LSTMOnly,1,0.5416666666666666,0.673828125,0.5434343434343435,0.5476190476190476,0.5416666666666666,0.5416666666666666
PPMI,DCM-DNN-CrossSection,1,0.5416666666666666,0.763671875,0.5349548440065681,0.5343286099865048,0.5416666666666666,0.5416666666666666
PPMI,LR-HandCraft,1,0.5416666666666666,0.6725260416666666,0.5439595192915876,0.5481481481481482,0.5416666666666666,0.5416666666666666
PPMI,XGBoost-HandCraft,1,0.5,0.7135416666666666,0.503575306820743,0.5123177476118652,0.5,0.5
PPMI,DCM-LSTM,2,0.5,0.625,0.47779029029029035,0.46888528138528135,0.5,0.5
PPMI,LSTMOnly,2,0.4791666666666667,0.625,0.436555023923445,0.4104773222420281,0.4791666666666667,0.4791666666666667
PPMI,DCM-DNN-CrossSection,2,0.5,0.7220052083333334,0.4527777777777778,0.4305555555555555,0.5,0.5
PPMI,LR-HandCraft,2,0.4791666666666667,0.701171875,0.47213420316868593,0.4755799755799756,0.4791666666666667,0.4791666666666667
PPMI,XGBoost-HandCraft,2,0.4791666666666667,0.712890625,0.4692564591144713,0.46313055136584547,0.4791666666666667,0.4791666666666667
PPMI,DCM-LSTM,3,0.5625,0.7734375,0.5555555555555555,0.557142857142857,0.5625,0.5625
PPMI,LSTMOnly,3,0.625,0.7272135416666666,0.6138528138528139,0.6124871001031992,0.625,0.625
PPMI,DCM-DNN-CrossSection,3,0.5833333333333334,0.8020833333333334,0.578407224958949,0.5792847503373819,0.5833333333333334,0.5833333333333334
PPMI,LR-HandCraft,3,0.6458333333333334,0.8346354166666666,0.6495279146141215,0.6610155195681512,0.6458333333333334,0.6458333333333334
PPMI,XGBoost-HandCraft,3,0.6041666666666666,0.779296875,0.6061835392464195,0.6142114965644377,0.6041666666666666,0.6041666666666666
PPMI,DCM-LSTM,4,0.625,0.837890625,0.6153717627401837,0.6255411255411255,0.625,0.625
PPMI,LSTMOnly,4,0.6875,0.8268229166666666,0.6684184184184184,0.6699134199134199,0.6875,0.6875
PPMI,DCM-DNN-CrossSection,4,0.6041666666666666,0.7727864583333334,0.6080808080808081,0.6255589955280358,0.6041666666666666,0.6041666666666666
PPMI,LR-HandCraft,4,0.6041666666666666,0.7565104166666666,0.603942652329749,0.6045751633986928,0.6041666666666666,0.6041666666666666
PPMI,XGBoost-HandCraft,4,0.5625,0.7447916666666666,0.5691601614522507,0.582118317412435,0.5625,0.5625
PPMI,DCM-LSTM,5,0.6458333333333334,0.8092447916666666,0.6222222222222222,0.6556776556776557,0.6458333333333334,0.6458333333333334
PPMI,LSTMOnly,5,0.625,0.8098958333333334,0.6242884250474383,0.625925925925926,0.625,0.625
PPMI,DCM-DNN-CrossSection,5,0.625,0.8352864583333334,0.6224673202614379,0.6226851851851852,0.625,0.625
PPMI,LR-HandCraft,5,0.6458333333333334,0.8125,0.6404040404040404,0.6372549019607844,0.6458333333333334,0.6458333333333334
PPMI,XGBoost-HandCraft,5,0.5416666666666666,0.8177083333333334,0.5393450635386119,0.5375816993464052,0.5416666666666666,0.5416666666666666
