dataset,feature_dim,model,fold,accuracy,balanced_accuracy,f1_macro,auc_macro
PPMI,20d,RF,3,0.6307692307692307,0.6291486291486291,0.6297229841599328,0.7743338702641029
PPMI,20d,XGBoost,3,0.5692307692307692,0.5678210678210678,0.5679779158040028,0.7357797241518171
PPMI,20d,DCM-DNN,4,0.640625,0.6363636363636364,0.6015973690392294,0.7969269102990033
PPMI,20d,PlainDNN,4,0.609375,0.6067821067821068,0.5815690361269562,0.7792249739924159
PPMI,20d,LR,4,0.578125,0.5757575757575758,0.5613563254759267,0.7717163327628445
PPMI,20d,RF,4,0.609375,0.6089466089466089,0.6008251854933777,0.7430198999966442
PPMI,20d,XGBoost,4,0.53125,0.5324675324675324,0.527544302927173,0.7149191248028458
PPMI,24d,DCM-DNN,0,0.6153846153846154,0.6154401154401155,0.5907237380921592,0.771527568039196
PPMI,24d,PlainDNN,0,0.6615384615384615,0.6616161616161617,0.6593484240543065,0.7855297157622739
PPMI,24d,LR,0,0.6153846153846154,0.6183261183261183,0.598340666247643,0.7468035840128864
PPMI,24d,RF,0,0.6615384615384615,0.6637806637806638,0.655952380952381,0.8155013591060104
PPMI,24d,XGBoost,0,0.6,0.6017316017316018,0.6037549407114625,0.7934158864391422
PPMI,24d,DCM-DNN,1,0.5230769230769231,0.523088023088023,0.5243163340724316,0.7355783751132589
PPMI,24d,PlainDNN,1,0.5230769230769231,0.523088023088023,0.5172764227642276,0.7407966710292292
PPMI,24d,LR,1,0.5692307692307692,0.5692640692640693,0.5722779635823114,0.78600791972885
PPMI,24d,RF,1,0.5846153846153846,0.5851370851370852,0.5788537549407115,0.7797702943051781
PPMI,24d,XGBoost,1,0.49230769230769234,0.4920634920634921,0.48809523809523814,0.7145709587570054
PPMI,24d,DCM-DNN,2,0.5538461538461539,0.5584415584415584,0.5309419593608768,0.7757978455652874
PPMI,24d,PlainDNN,2,0.5692307692307692,0.5743145743145743,0.5400584795321638,0.7747491526561294
PPMI,24d,LR,2,0.6153846153846154,0.6176046176046176,0.6183398696075737,0.786930769488909
PPMI,24d,RF,2,0.6,0.6024531024531025,0.6018045112781955,0.8040957750260076
PPMI,24d,XGBoost,2,0.676923076923077,0.6782106782106782,0.6773368845923039,0.8372093023255814
PPMI,24d,DCM-DNN,3,0.6153846153846154,0.6111111111111112,0.5982968125825269,0.8019312728615055
PPMI,24d,PlainDNN,3,0.5538461538461539,0.5490620490620491,0.5338110203226483,0.7666029061377898
PPMI,24d,LR,3,0.5538461538461539,0.5533910533910533,0.5592818428184282,0.7679787912346052
PPMI,24d,RF,3,0.676923076923077,0.6753246753246752,0.6755133812736304,0.8179888586865331
PPMI,24d,XGBoost,3,0.6,0.5995670995670995,0.6038619941305581,0.777752609147958
PPMI,24d,DCM-DNN,4,0.640625,0.6363636363636364,0.612152553329024,0.814649820463774
PPMI,24d,PlainDNN,4,0.640625,0.6363636363636364,0.6175018155410312,0.8168814389744622
PPMI,24d,LR,4,0.609375,0.6060606060606061,0.5847672402294251,0.78559683210846
PPMI,24d,RF,4,0.625,0.6233766233766234,0.6153632473067875,0.7996577066344508
PPMI,24d,XGBoost,4,0.71875,0.7178932178932179,0.7162180814354727,0.8268314372965536
