dataset,train_size_per_class,fold,model,accuracy,f1_macro,auc_macro,balanced_accuracy,binary_accuracy,binary_f1,binary_auc,binary_balanced_acc
NACC,500,0,XGBoost,0.9566666666666667,0.9563956639566396,0.9968,0.9566666666666667,0.9766666666666667,0.9822784810126582,0.99835,0.98
NACC,500,1,DCM-DNN,0.9666666666666667,0.9664424648850632,0.9974500000000001,0.9666666666666667,0.98,0.9847715736040609,0.998,0.985
NACC,500,1,PlainDNN,0.9733333333333334,0.973054921435914,0.9989833333333333,0.9733333333333333,0.9833333333333333,0.9873417721518988,0.9990999999999999,0.9875
NACC,500,1,LR,0.9933333333333333,0.9933326665999934,0.9998999999999999,0.9933333333333333,1.0,1.0,1.0,1.0
NACC,500,1,RF,0.9466666666666667,0.9465044945295364,0.995175,0.9466666666666667,0.9633333333333334,0.9718670076726342,0.9971000000000001,0.97
NACC,500,1,XGBoost,0.9733333333333334,0.9732393508941755,0.9979999999999999,0.9733333333333333,0.9833333333333333,0.9873417721518988,0.99965,0.9875
NACC,500,2,DCM-DNN,0.95,0.9492336624706977,0.9939166666666667,0.9500000000000001,0.9833333333333333,0.9873417721518988,1.0,0.9875
NACC,500,2,PlainDNN,0.95,0.9493349265415655,0.9951,0.9499999999999998,0.98,0.9847715736040609,1.0,0.985
NACC,500,2,LR,0.9766666666666667,0.9766614154851508,0.9979333333333334,0.9766666666666666,1.0,1.0,1.0,1.0
NACC,500,2,RF,0.9233333333333333,0.9227317377693317,0.9909083333333335,0.9233333333333333,0.9633333333333334,0.9718670076726342,0.997425,0.97
NACC,500,2,XGBoost,0.9466666666666667,0.9465666041275798,0.9918499999999999,0.9466666666666668,0.9766666666666667,0.9822784810126582,0.9974500000000001,0.98
NACC,500,3,DCM-DNN,0.9433333333333334,0.9433989183062911,0.99595,0.9433333333333334,0.9733333333333334,0.98,0.9977500000000001,0.97
NACC,500,3,PlainDNN,0.95,0.9501419713536469,0.9961333333333333,0.9499999999999998,0.98,0.9851485148514851,0.9981,0.9724999999999999
NACC,500,3,LR,0.9866666666666667,0.9866613311991462,0.9998999999999999,0.9866666666666667,1.0,1.0,1.0,1.0
NACC,500,3,RF,0.93,0.929700573178834,0.9904333333333333,0.93,0.9566666666666667,0.9669211195928753,0.9952000000000001,0.96
NACC,500,3,XGBoost,0.94,0.9400932709859718,0.9942666666666667,0.9400000000000001,0.9633333333333334,0.9722921914357683,0.9972,0.9624999999999999
NACC,500,4,DCM-DNN,0.9566666666666667,0.9562000041409279,0.9974166666666667,0.9566666666666667,0.9833333333333333,0.9874686716791979,0.9988,0.9824999999999999
NACC,500,4,PlainDNN,0.96,0.9594650460901546,0.9968833333333332,0.96,0.9833333333333333,0.9874055415617129,0.9984,0.985
NACC,500,4,LR,0.99,0.9899651530423138,0.9999333333333333,0.9899999999999999,0.9966666666666667,0.9974937343358395,0.9999000000000001,0.9975
NACC,500,4,RF,0.93,0.9287957379779476,0.9915166666666666,0.93,0.9466666666666667,0.9591836734693877,0.993525,0.95
NACC,500,4,XGBoost,0.9466666666666667,0.9461258627364598,0.9954166666666667,0.9466666666666667,0.9633333333333334,0.9721518987341772,0.9974999999999999,0.965
NACC,1000,0,DCM-DNN,0.9666666666666667,0.9664567011255455,0.9979916666666666,0.9666666666666667,0.99,0.9925,0.9994999999999999,0.98875
NACC,1000,0,PlainDNN,0.9716666666666667,0.9714621734154614,0.997725,0.9716666666666667,0.9933333333333333,0.9949748743718593,0.9995875,0.995
NACC,1000,0,LR,0.9966666666666667,0.9966665833312499,0.9999583333333333,0.9966666666666667,1.0,1.0,1.0,1.0
NACC,1000,0,RF,0.9383333333333334,0.9379128601549692,0.9925875,0.9383333333333334,0.965,0.9734513274336283,0.9963312499999999,0.96625
NACC,1000,0,XGBoost,0.96,0.9597893712297064,0.9961708333333333,0.96,0.98,0.9848866498740554,0.9982624999999999,0.98125
NACC,1000,1,DCM-DNN,0.97,0.9697816658560945,0.9974500000000001,0.9700000000000001,0.99,0.992462311557789,0.9995875,0.99125
NACC,1000,1,PlainDNN,0.9566666666666667,0.9562054162996819,0.996325,0.9566666666666667,0.9866666666666667,0.9899749373433584,0.9992625,0.9862500000000001
NACC,1000,1,LR,0.9933333333333333,0.993320351859488,0.9999541666666666,0.9933333333333333,0.9983333333333333,0.9987484355444305,1.0,0.99875
NACC,1000,1,RF,0.93,0.9290461390722081,0.9927083333333334,0.93,0.9616666666666667,0.9707006369426752,0.99735625,0.96625
NACC,1000,1,XGBoost,0.9616666666666667,0.9616414894259755,0.9962166666666666,0.9616666666666666,0.9816666666666667,0.986232790988736,0.9990875,0.98
NACC,1000,2,DCM-DNN,0.9683333333333334,0.9679198000636352,0.9992708333333334,0.9683333333333334,0.9866666666666667,0.98989898989899,0.9999500000000001,0.99
NACC,1000,2,PlainDNN,0.975,0.9750123750773443,0.9987958333333333,0.975,0.99,0.9925,0.9997625,0.98875
NACC,1000,2,LR,0.9983333333333333,0.9983333229166016,1.0,0.9983333333333334,1.0,1.0,1.0,1.0
NACC,1000,2,RF,0.9416666666666667,0.9410287218577128,0.9957395833333335,0.9416666666666668,0.9666666666666667,0.9745547073791349,0.9977437499999999,0.97125
NACC,1000,2,XGBoost,0.965,0.9648726101840581,0.9962791666666666,0.965,0.9833333333333333,0.9873737373737373,0.9978750000000001,0.9862500000000001
NACC,1000,3,DCM-DNN,0.9716666666666667,0.9715402667499528,0.9971041666666668,0.9716666666666667,0.9883333333333333,0.9912170639899623,0.998575,0.98875
NACC,1000,3,PlainDNN,0.97,0.9697725020026012,0.9971791666666667,0.9700000000000001,0.9833333333333333,0.9873417721518988,0.9985875000000001,0.9875
NACC,1000,3,LR,0.9933333333333333,0.9933162470475904,0.9999625,0.9933333333333333,0.9966666666666667,0.9974937343358395,1.0,0.9975
NACC,1000,3,RF,0.945,0.9450459006014561,0.9934937499999998,0.945,0.9783333333333334,0.9836477987421384,0.9976875000000001,0.97875
NACC,1000,3,XGBoost,0.9516666666666667,0.9517082034235131,0.9963666666666667,0.9516666666666667,0.9783333333333334,0.9836477987421384,0.9986750000000001,0.97875
NACC,1000,4,DCM-DNN,0.9666666666666667,0.9663962339618267,0.9985250000000002,0.9666666666666668,0.99,0.992462311557789,0.9995625,0.99125
NACC,1000,4,PlainDNN,0.9616666666666667,0.9613541906394891,0.9980000000000001,0.9616666666666666,0.9916666666666667,0.9937264742785445,0.9996125,0.9924999999999999
NACC,1000,4,LR,0.9966666666666667,0.9966665833312499,1.0,0.9966666666666667,1.0,1.0,0.9999999999999999,1.0
NACC,1000,4,RF,0.9433333333333334,0.9427308619446696,0.9946333333333334,0.9433333333333334,0.9683333333333334,0.9759188846641318,0.9976125,0.97125
NACC,1000,4,XGBoost,0.97,0.9698832361350783,0.9976916666666668,0.9700000000000001,0.9883333333333333,0.9912170639899623,0.9993624999999999,0.98875
NACC,2000,0,DCM-DNN,0.9858333333333333,0.9857999996522354,0.9992437500000001,0.9858333333333333,0.9983333333333333,0.9987484355444305,0.999859375,0.99875
NACC,2000,0,PlainDNN,0.975,0.9749246365212753,0.9986822916666668,0.9750000000000001,0.9933333333333333,0.995,0.99978125,0.9924999999999999
NACC,2000,0,LR,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0
NACC,2000,0,RF,0.9508333333333333,0.9505228370489092,0.9963697916666666,0.9508333333333333,0.9691666666666666,0.9765674477517416,0.9981734375,0.971875
NACC,2000,0,XGBoost,0.9758333333333333,0.9757375673066956,0.9986114583333334,0.9758333333333334,0.9925,0.994343180389692,0.999840625,0.994375
NACC,2000,1,DCM-DNN,0.9775,0.9774404612021738,0.9991458333333334,0.9775,0.9983333333333333,0.9987484355444305,0.999940625,0.99875
NACC,2000,1,PlainDNN,0.98,0.979953450064632,0.9990479166666667,0.98,0.9975,0.99812382739212,0.99976875,0.9975
NACC,2000,1,LR,0.9983333333333333,0.9983333229166016,0.9999958333333333,0.9983333333333334,0.9983333333333333,0.9987484355444305,1.0,0.99875
NACC,2000,1,RF,0.9441666666666667,0.9437443000638012,0.9956119791666667,0.9441666666666667,0.9758333333333333,0.981680353758686,0.9987421875000001,0.9781249999999999
NACC,2000,1,XGBoost,0.9691666666666666,0.9689840333860332,0.9980822916666666,0.9691666666666667,0.99,0.9924528301886792,0.999621875,0.9918750000000001
NACC,2000,2,DCM-DNN,0.9825,0.982446470087056,0.9994729166666666,0.9825,0.995,0.9962453066332916,0.9999156250000001,0.995
NACC,2000,2,PlainDNN,0.9741666666666666,0.9740521410144739,0.9993,0.9741666666666666,0.9933333333333333,0.995,0.9998499999999999,0.9924999999999999
NACC,2000,2,LR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NACC,2000,2,RF,0.9466666666666667,0.9460202080296093,0.9953244791666666,0.9466666666666667,0.9683333333333334,0.9759188846641318,0.9973921875,0.97125
NACC,2000,2,XGBoost,0.9733333333333334,0.97319611917034,0.9984947916666668,0.9733333333333333,0.9875,0.9905956112852664,0.9991031250000001,0.9875
NACC,2000,3,DCM-DNN,0.9725,0.9722971141430485,0.9992322916666666,0.9725,0.9916666666666667,0.9937185929648241,0.99985,0.993125
NACC,2000,3,PlainDNN,0.9791666666666666,0.9791024490719639,0.9992375,0.9791666666666666,0.9908333333333333,0.9930947897049592,0.9999,0.9918750000000001
NACC,2000,3,LR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NACC,2000,3,RF,0.9416666666666667,0.9409599405915762,0.9956578125000001,0.9416666666666668,0.9675,0.9752380952380952,0.998653125,0.97125
NACC,2000,3,XGBoost,0.97,0.9699216404317487,0.9980072916666667,0.9700000000000001,0.9891666666666666,0.9918392969240427,0.999759375,0.99
NACC,2000,4,DCM-DNN,0.9858333333333333,0.9857858395348315,0.9992125,0.9858333333333333,0.9958333333333333,0.9968691296180339,0.9998812499999999,0.9962500000000001
