nacc_per_class,model,fold,eval_dataset,accuracy,balanced_accuracy,f1_macro,auc_macro
250,DCM-DNN,0,PPMI,0.5230769230769231,0.5023893065998329,0.4803133374561946,0.7074595811003134
250,PlainDNN,0,NACC,0.9533333333333334,0.95479459387127,0.9537480671028419,0.9926324526571438
250,PlainDNN,0,PPMI,0.47692307692307695,0.4573099415204678,0.4424578341975088,0.7157167655634474
250,LR,0,NACC,0.9533333333333334,0.95479459387127,0.954072849962129,0.9912514594220038
250,LR,0,PPMI,0.49230769230769234,0.4723141186299082,0.46886886886886886,0.7168125749155497
250,DCM-DNN,1,NACC,0.9607843137254902,0.9594671201814059,0.9594376899696049,0.9966688005715989
250,DCM-DNN,1,PPMI,0.6774193548387096,0.7101449275362318,0.6699635806018785,0.8163438312894834
250,PlainDNN,1,NACC,0.9673202614379085,0.9652777777777778,0.9659360383695974,0.9989513445699013
250,PlainDNN,1,PPMI,0.6935483870967742,0.7246376811594203,0.6900776217685513,0.8291875696767002
250,LR,1,NACC,0.9215686274509803,0.9209183673469387,0.920151515151515,0.9891824656552197
250,LR,1,PPMI,0.7096774193548387,0.7327898550724637,0.7117690330839853,0.8340417131178001
250,DCM-DNN,2,NACC,0.9113924050632911,0.9132973944294699,0.9100507025035327,0.9689888652362452
250,DCM-DNN,2,PPMI,0.45614035087719296,0.44474637681159424,0.4532051282051282,0.7645532556135451
250,PlainDNN,2,NACC,0.8860759493670886,0.8854126556282891,0.88346880665078,0.9672345266650888
250,PlainDNN,2,PPMI,0.5614035087719298,0.5651167471819646,0.5666791791791792,0.7716838341110585
250,LR,2,NACC,0.8987341772151899,0.9005422923886535,0.8980316695907787,0.9867055809110328
250,LR,2,PPMI,0.6140350877192983,0.61664653784219,0.6193638902833017,0.7988854193824252
250,DCM-DNN,3,NACC,0.8936170212765957,0.8933011272141708,0.8920639523176673,0.9845184891809605
250,DCM-DNN,3,PPMI,0.581081081081081,0.5830959164292498,0.5556965750652982,0.773267959471626
250,PlainDNN,3,NACC,0.900709219858156,0.8993880837359098,0.8977597966450311,0.9828063492994842
250,PlainDNN,3,PPMI,0.5675675675675675,0.5698005698005697,0.5297017729902699,0.7718012442813392
250,LR,3,NACC,0.8865248226950354,0.8853140096618358,0.8839624313308524,0.9825732818047844
250,LR,3,PPMI,0.581081081081081,0.5845204178537511,0.5828954742889169,0.7674329764604755
250,DCM-DNN,4,NACC,0.9391891891891891,0.9394444444444444,0.9383041515021953,0.9943948412698412
250,DCM-DNN,4,PPMI,0.6515151515151515,0.6525189786059351,0.6525189786059351,0.8376341577133622
250,PlainDNN,4,NACC,0.9324324324324325,0.9330555555555554,0.9315357067621656,0.9950141723356009
250,PlainDNN,4,PPMI,0.696969696969697,0.6952129995608257,0.6998735499477706,0.8499138625659141
250,LR,4,NACC,0.9324324324324325,0.9325,0.9325,0.9909155328798186
250,LR,4,PPMI,0.7121212121212122,0.7104272539055149,0.7104272539055149,0.8649355523907412
125,DCM-DNN,0,NACC,0.7808219178082192,0.7803893637226972,0.7822222222222223,0.9522624608920783
125,DCM-DNN,0,PPMI,0.5373134328358209,0.5281440781440782,0.5330037823465528,0.762561963656253
125,PlainDNN,0,NACC,0.8082191780821918,0.8055555555555555,0.8066666666666666,0.9606372411758759
125,PlainDNN,0,PPMI,0.5074626865671642,0.490964590964591,0.48818093866886064,0.765137606515283
125,LR,0,NACC,0.7945205479452054,0.8013770180436848,0.7984200123608639,0.9391758006265887
125,LR,0,PPMI,0.5522388059701493,0.5448107448107448,0.5500658761528326,0.7494108912228992
125,DCM-DNN,1,NACC,0.8809523809523809,0.8619949494949495,0.8645833333333334,0.9785864631518754
125,DCM-DNN,1,PPMI,0.6607142857142857,0.7131652661064426,0.6619250829777146,0.8923873337589793
125,PlainDNN,1,NACC,0.9047619047619048,0.8916035353535353,0.8940836940836941,0.9810248151141968
125,PlainDNN,1,PPMI,0.6607142857142857,0.706890756302521,0.6648148148148149,0.8354149633385198
125,LR,1,NACC,0.8928571428571429,0.8771464646464646,0.8796828663075713,0.9761794984353228
125,LR,1,PPMI,0.6785714285714286,0.7202240896358543,0.6872082166199812,0.8653627604888109
125,DCM-DNN,2,NACC,0.9113924050632911,0.9126918022470245,0.9118970020571852,0.9843120228652463
125,DCM-DNN,2,PPMI,0.639344262295082,0.6343800322061192,0.6326881204929985,0.7611108178649594
125,PlainDNN,2,NACC,0.9367088607594937,0.935680307994151,0.9371835111948106,0.989392304254873
125,PlainDNN,2,PPMI,0.6885245901639344,0.6818840579710145,0.6825325325325325,0.7929585493680137
125,LR,2,NACC,0.8860759493670886,0.8897032964998982,0.8856060606060606,0.9570902765955239
125,LR,2,PPMI,0.6229508196721312,0.6158615136876007,0.6158615136876007,0.7802311015234041
125,DCM-DNN,3,NACC,0.9444444444444444,0.9490740740740741,0.9450445535551918,0.9951147537204182
125,DCM-DNN,3,PPMI,0.5882352941176471,0.5834653523440708,0.5893719806763285,0.7625649633985692
125,PlainDNN,3,NACC,0.9166666666666666,0.9193121693121693,0.9181671790367444,0.9909545170949038
125,PlainDNN,3,PPMI,0.5882352941176471,0.5834653523440708,0.5893719806763285,0.7746312481846971
125,LR,3,NACC,0.9444444444444444,0.947089947089947,0.9451526251526251,0.9917925657917488
125,LR,3,PPMI,0.5588235294117647,0.5594965675057207,0.5640396210163652,0.7628348622791251
125,DCM-DNN,4,NACC,0.9253731343283582,0.9222222222222222,0.9220994726313876,0.9954469125999578
125,DCM-DNN,4,PPMI,0.6111111111111112,0.6168414918414918,0.6029735132433783,0.7795752571703658
125,PlainDNN,4,NACC,0.8805970149253731,0.875,0.8741723874904653,0.9843586783220628
125,PlainDNN,4,PPMI,0.5972222222222222,0.6076146076146075,0.5855309670839824,0.7561364164217425
125,LR,4,NACC,0.9253731343283582,0.9243961352657005,0.9235802441280656,0.9923627232460569
125,LR,4,PPMI,0.6527777777777778,0.6567599067599067,0.6563958916900093,0.7889787647939821
50,DCM-DNN,0,NACC,0.8484848484848485,0.8611111111111112,0.8407609060966593,0.9444200244200244
50,DCM-DNN,0,PPMI,0.6935483870967742,0.697673531655225,0.6813953488372094,0.83779655543931
50,PlainDNN,0,NACC,0.8181818181818182,0.8333333333333334,0.8074074074074074,0.9554802604802605
50,PlainDNN,0,PPMI,0.6612903225806451,0.6634630053394356,0.6481481481481481,0.8431392090191515
50,LR,0,NACC,0.8181818181818182,0.8354700854700855,0.8153439153439153,0.9434879934879934
50,LR,0,PPMI,0.6612903225806451,0.66651411136537,0.648148148148148,0.8435005353210876
50,DCM-DNN,1,NACC,0.8095238095238095,0.7962962962962963,0.792357968828557,0.9567901234567903
50,DCM-DNN,1,PPMI,0.6216216216216216,0.6293706293706294,0.6249203955086308,0.8079108391608392
50,PlainDNN,1,NACC,0.8571428571428571,0.8518518518518517,0.8486772486772486,0.9833333333333334
50,PlainDNN,1,PPMI,0.5945945945945946,0.6037296037296037,0.5809734363924798,0.7970571095571096
50,LR,1,NACC,0.9047619047619048,0.9074074074074074,0.9024700789406671,0.9555555555555556
50,LR,1,PPMI,0.5945945945945946,0.6013986013986014,0.5873578595317727,0.8170891608391608
50,DCM-DNN,2,NACC,0.8611111111111112,0.8696969696969697,0.862962962962963,0.9632079032079032
50,DCM-DNN,2,PPMI,0.5932203389830508,0.600373482726424,0.5925962925962925,0.8067472603076319
50,PlainDNN,2,NACC,0.7777777777777778,0.7676767676767677,0.7649400408021098,0.9269145669145669
50,PlainDNN,2,PPMI,0.6101694915254238,0.6125116713352008,0.5967498110355254,0.8106295149638804
50,LR,2,NACC,0.8055555555555556,0.8141414141414142,0.8087169490678262,0.9378565878565879
50,LR,2,PPMI,0.576271186440678,0.5845004668534081,0.5652173913043478,0.7918570937146788
50,DCM-DNN,3,NACC,0.8620689655172413,0.8436507936507937,0.8426501035196687,0.9609250398724084
50,DCM-DNN,3,PPMI,0.5757575757575758,0.5830808080808081,0.5806403421867875,0.753272514339708
50,PlainDNN,3,NACC,0.7586206896551724,0.7206349206349206,0.7177460220938482,0.9426748689906584
50,PlainDNN,3,PPMI,0.5606060606060606,0.5661616161616161,0.5681478265064891,0.746540931619983
50,LR,3,NACC,0.7241379310344828,0.6873015873015874,0.6866804692891649,0.9081697112656865
50,LR,3,PPMI,0.5909090909090909,0.5982323232323232,0.6012903635901347,0.749924736733037
50,DCM-DNN,4,NACC,0.7741935483870968,0.8333333333333334,0.7756512493354598,0.9657051885312754
50,DCM-DNN,4,PPMI,0.6507936507936508,0.630941770647653,0.6303356142065819,0.7845329875225078
50,PlainDNN,4,NACC,0.7741935483870968,0.8201058201058201,0.7792524790236461,0.962788584911347
50,PlainDNN,4,PPMI,0.5873015873015873,0.5684046345811052,0.5738880918220947,0.760614381863836
50,LR,4,NACC,0.8387096774193549,0.8809523809523809,0.8415713196033562,0.9865728900255754
50,LR,4,PPMI,0.5555555555555556,0.5349079025549613,0.5349079025549613,0.7389807939134244
