train_size_per_class,fold,model,eval_dataset,accuracy,f1_macro,auc_macro,balanced_accuracy,binary_accuracy,binary_f1,binary_auc,binary_balanced_acc
200,2,RF,NACC,0.8782608695652174,0.8743015879447663,0.985526922905689,0.8774509803921569,0.9565217391304348,0.965034965034965,0.9983520105471325,0.9662162162162162
200,2,RF,PPMI,0.603448275862069,0.6025554007549506,0.7805306534066436,0.5935398313914938,0.7758620689655172,0.8470588235294118,0.8134863701578192,0.7037302725968436
200,2,XGBoost,NACC,0.8956521739130435,0.8915838481511326,0.9805093226496066,0.8970588235294118,0.9739130434782609,0.9793103448275862,0.995385629531971,0.9797297297297297
200,2,XGBoost,PPMI,0.6379310344827587,0.6352311470328779,0.7762614551535236,0.6276404281519371,0.8103448275862069,0.8705882352941177,0.8127690100430416,0.7453371592539455
200,3,DCM-DNN,NACC,0.95,0.9501984501984503,0.9955693177617615,0.9503405844869258,0.9666666666666667,0.9736842105263158,0.9984737484737485,0.9743589743589743
200,3,DCM-DNN,PPMI,0.6226415094339622,0.6213490801726095,0.8116554054054054,0.623015873015873,0.7735849056603774,0.8333333333333334,0.8606418918918919,0.7491554054054055
200,3,PlainDNN,NACC,0.9583333333333334,0.9583996917039257,0.9993768956151365,0.9584706657877389,0.975,0.9803921568627451,1.0,0.9807692307692308
200,3,PlainDNN,PPMI,0.6226415094339622,0.623123123123123,0.8085049335049335,0.623015873015873,0.7924528301886793,0.8493150684931506,0.8657094594594594,0.7626689189189189
200,3,LR,NACC,0.9666666666666667,0.9678668215253582,0.9985650376974861,0.9680603948896632,0.9666666666666667,0.9746835443037974,0.9984737484737485,0.9578754578754579
200,3,LR,PPMI,0.5849056603773585,0.5911221395092362,0.8204901329901331,0.5863095238095238,0.7924528301886793,0.8533333333333334,0.8741554054054054,0.7449324324324325
200,3,RF,NACC,0.9583333333333334,0.9590847048324015,0.9959209755819783,0.9579788848081531,0.975,0.9808917197452229,0.9992368742368742,0.9697802197802198
200,3,RF,PPMI,0.5849056603773585,0.5873722461957757,0.7786759974259975,0.5912698412698413,0.7735849056603774,0.8333333333333334,0.8395270270270271,0.7491554054054055
200,3,XGBoost,NACC,0.95,0.951068510370836,0.9970937898780793,0.9511148779441463,0.9666666666666667,0.975,0.9990842490842491,0.9523809523809523
200,3,XGBoost,PPMI,0.5849056603773585,0.5791971916971916,0.7636743886743886,0.5763888888888888,0.7358490566037735,0.8108108108108109,0.8048986486486487,0.6866554054054055
200,4,DCM-DNN,NACC,0.943089430894309,0.9426623072192694,0.9925171322398406,0.9438479140996304,0.975609756097561,0.9822485207100592,0.9969040247678019,0.975077399380805
200,4,DCM-DNN,PPMI,0.7,0.7046332046332046,0.8706140350877192,0.7266081871345028,0.82,0.8571428571428571,0.9278438030560272,0.8039049235993209
200,4,PlainDNN,NACC,0.9349593495934959,0.9344211344211345,0.9936087162564481,0.9366015372880362,0.967479674796748,0.9761904761904762,0.9975232198142415,0.9691950464396285
200,4,PlainDNN,PPMI,0.74,0.7402918069584737,0.8878513488021129,0.7616959064327484,0.84,0.8666666666666667,0.931239388794567,0.8404074702886248
200,4,LR,NACC,0.9512195121951219,0.9500487329434698,0.9960325379291594,0.9508693696336717,0.967479674796748,0.9764705882352941,0.9969040247678018,0.9619195046439628
200,4,LR,PPMI,0.66,0.653411197626993,0.8604508583286172,0.6915204678362573,0.8,0.8333333333333334,0.9176570458404075,0.797962648556876
200,4,RF,NACC,0.926829268292683,0.9266925115535405,0.9864304188405683,0.9278296074634748,0.967479674796748,0.9764705882352941,0.9953560371517027,0.9619195046439628
200,4,RF,PPMI,0.72,0.7156004489337823,0.8182418411620448,0.7339181286549707,0.84,0.8666666666666667,0.864176570458404,0.8404074702886248
200,4,XGBoost,NACC,0.9186991869918699,0.9173072033483933,0.9926175224196493,0.9182068884586047,0.967479674796748,0.9761904761904762,0.9987616099071208,0.9691950464396285
200,4,XGBoost,PPMI,0.72,0.7234432234432234,0.8228164497264667,0.7441520467836257,0.78,0.819672131147541,0.8514431239388794,0.7716468590831917
500,0,DCM-DNN,NACC,0.9473684210526315,0.9463498489814279,0.997660876648394,0.9482200647249192,0.9605263157894737,0.97,0.999455121854567,0.970873786407767
500,0,DCM-DNN,PPMI,0.62,0.6160858112077624,0.7898015873015872,0.6055555555555556,0.78,0.8135593220338984,0.8675,0.775
500,0,PlainDNN,NACC,0.9605263157894737,0.9602521971337564,0.9980460618773906,0.9611650485436893,0.9769736842105263,0.9827160493827161,0.9993065187239945,0.9830097087378641
500,0,PlainDNN,PPMI,0.62,0.6224664224664225,0.779484126984127,0.6111111111111112,0.78,0.819672131147541,0.8441666666666667,0.7666666666666666
500,0,LR,NACC,0.9802631578947368,0.9803484430075661,0.9986120516892455,0.9804174096823196,0.993421052631579,0.9951456310679612,0.9996037249851397,0.992470774717654
500,0,LR,PPMI,0.66,0.6585297418630752,0.804404761904762,0.6499999999999999,0.8,0.8333333333333334,0.8675,0.7916666666666667
500,0,RF,NACC,0.9276315789473685,0.9274167968280668,0.9899475198474308,0.9284723598177135,0.9572368421052632,0.967741935483871,0.9964335248662572,0.9630968892411333
500,0,RF,PPMI,0.58,0.5727115922203058,0.749404761904762,0.5611111111111112,0.74,0.7719298245614035,0.8091666666666666,0.7416666666666667
500,0,XGBoost,NACC,0.9605263157894737,0.9604359843295599,0.9955797756478817,0.9611650485436893,0.9835526315789473,0.9877149877149877,0.9989597780859917,0.9878640776699029
500,0,XGBoost,PPMI,0.52,0.5245421245421246,0.7208333333333332,0.5111111111111111,0.7,0.7540983606557377,0.8091666666666666,0.6833333333333333
500,1,DCM-DNN,NACC,0.9618055555555556,0.9600311565828807,0.9960116583954943,0.9585803313573491,0.9895833333333334,0.9919571045576407,0.9997364537212735,0.9875079063883618
500,1,DCM-DNN,PPMI,0.6060606060606061,0.6115839243498817,0.8026459241103848,0.6863425925925926,0.7727272727272727,0.8275862068965517,0.8768750000000001,0.82875
500,1,PlainDNN,NACC,0.9652777777777778,0.9636749931383634,0.9955374568811246,0.9624563003495972,0.9861111111111112,0.989247311827957,0.9993674889310563,0.9848197343453511
500,1,PlainDNN,PPMI,0.6212121212121212,0.6286719816131581,0.8118289306463325,0.6759259259259259,0.7575757575757576,0.8222222222222222,0.8756250000000001,0.77625
500,1,LR,NACC,0.96875,0.9673858404663652,0.9989652272165497,0.9662669098647211,0.9930555555555556,0.9946236559139785,0.9999472907442547,0.9924098671726755
